,PaperId,PaperRank,Doi,DocType,PaperTitle,OriginalTitle,BookTitle,Year,Date,OnlineDate,Publisher,JournalId,ConferenceSeriesId,ConferenceInstanceId,Volume,Issue,FirstPage,LastPage,ReferenceCount,PaperCitationCount,EstimatedCitation,OriginalVenue,FamilyId,FamilyRank,N/A,CreatedDate,AuthorId,AffiliationId,AuthorSequenceNumber,OriginalAuthor,OriginalAffiliation,Rank,NormalizedName,DisplayName,LastKnownAffiliationId,PaperCount,AuthorCitationCount,Unknown,CreateDate
100,2079250553,19964,10.1086/261566,Journal,estimates of the returns to quality and coauthorship in economic academia,Estimates of the Returns to Quality and Coauthorship in Economic Academia,,1988,1988-08-01,,The University of Chicago Press,95323914.0,,,96.0,4.0,855.0,866.0,10,228,293,Journal of Political Economy,,,,2016-06-24,2104018909.0,,1.0,Raymond D. Sauer,,15891.0,raymond d sauer,Raymond D. Sauer,8078737.0,29.0,25.0,1180.0,2016-06-24
101,2491116826,22098,10.1016/J.EJPOLECO.2016.07.007,Journal,political turnover and the accumulation of democratic capital,Political turnover and the accumulation of democratic capital,,2016,2016-09-01,2016-07-25,North-Holland,100134864.0,,,44.0,44.0,195.0,213.0,28,4,4,European Journal of Political Economy,,,,2016-08-23,2729128620.0,70983195.0,1.0,Leyla D. Karakas,"Department of Economics, Maxwell School of Citizenship and Public Affairs, Syracuse University, Syracuse, NY 13244, United States",18735.0,leyla d karakas,Leyla D. Karakas,70983195.0,11.0,9.0,19.0,2017-07-14
102,1988543556,25468,10.1111/J.1467-9485.1972.TB00525.X,Journal,employment creation in the development areas1,EMPLOYMENT CREATION IN THE DEVELOPMENT AREAS1,,1972,1972-11-01,,Blackwell Publishing Ltd,111496547.0,,,19.0,3.0,287.0,296.0,2,7,7,Scottish Journal of Political Economy,,,,2016-06-24,2414684184.0,78757542.0,1.0,R. R. MacKay,University of Newcastle,20003.0,r r mackay,R. R. MacKay,78757542.0,2.0,2.0,9.0,2016-06-24
103,2028708602,35078,10.1086/250498,Journal,the pedagogical significance of the cephalic index,The Pedagogical Significance of the Cephalic Index,,1898,1898-03-01,,The University of Chicago Press,95323914.0,,,6.0,2.0,254.0,265.0,0,2,2,Journal of Political Economy,,,,2016-06-24,2313023320.0,,1.0,Carlos C. Closson,,18087.0,carlos c closson,Carlos C. Closson,,21.0,21.0,35.0,2016-06-24
104,2029263248,20744,10.1111/J.1467-9485.2009.00500.X,Journal,robust estimations of equilibrium exchange rates within the g20 a panel beer approach,Robust Estimations of Equilibrium Exchange Rates within the G20: A Panel BEER Approach,,2009,2009-11-01,2009-10-01,Blackwell Publishing Ltd,111496547.0,,,56.0,5.0,608.0,633.0,50,35,53,Scottish Journal of Political Economy,,,,2016-06-24,256616647.0,204730241.0,2.0,Sophie Béreau,"EconomiX-CNRS, University of Paris Ouest",17145.0,sophie bereau,Sophie Béreau,204730241.0,35.0,29.0,288.0,2016-06-24
104,2029263248,20744,10.1111/J.1467-9485.2009.00500.X,Journal,robust estimations of equilibrium exchange rates within the g20 a panel beer approach,Robust Estimations of Equilibrium Exchange Rates within the G20: A Panel BEER Approach,,2009,2009-11-01,2009-10-01,Blackwell Publishing Ltd,111496547.0,,,56.0,5.0,608.0,633.0,50,35,53,Scottish Journal of Political Economy,,,,2016-06-24,1175331606.0,204730241.0,3.0,Valérie Mignon,"EconomiX‐CNRS, University of Paris Ouest",14962.0,valerie mignon,Valérie Mignon,204730241.0,267.0,205.0,3492.0,2016-06-24
104,2029263248,20744,10.1111/J.1467-9485.2009.00500.X,Journal,robust estimations of equilibrium exchange rates within the g20 a panel beer approach,Robust Estimations of Equilibrium Exchange Rates within the G20: A Panel BEER Approach,,2009,2009-11-01,2009-10-01,Blackwell Publishing Ltd,111496547.0,,,56.0,5.0,608.0,633.0,50,35,53,Scottish Journal of Political Economy,,,,2016-06-24,2242562475.0,,1.0,Agnès Bénassy-Quéré,CEPII,14488.0,agnes benassyquere,Agnès Bénassy-Quéré,57995698.0,384.0,295.0,3620.0,2016-06-24
105,2047760189,24942,10.1086/260002,Journal,the alternatives before us,The Alternatives before Us,,1972,1972-05-01,,The University of Chicago Press,95323914.0,,,80.0,3.0,280.0,289.0,0,6,6,Journal of Political Economy,,,,2016-06-24,2164884428.0,,1.0,Harry G. Johnson,,13219.0,harry g johnson,Harry G. Johnson,40347166.0,345.0,339.0,6351.0,2016-06-24
106,2062093474,26075,10.1086/258262,Journal,french canadians as industrial entrepreneurs,French Canadians as Industrial Entrepreneurs,,1960,1960-02-01,,The University of Chicago Press,95323914.0,,,68.0,1.0,37.0,52.0,0,12,12,Journal of Political Economy,,,,2016-06-24,2631461333.0,,1.0,Norman W. Taylor,,20247.0,norman w taylor,Norman W. Taylor,,1.0,1.0,12.0,2017-06-30
107,2507312364,32724,10.1086/254652,Journal,det ekonomiska laget 1928 1932 johan akerman,"Det ekonomiska läget, 1928-1932. Johan Akerman",,1934,1934-08-01,,,95323914.0,,,42.0,4.0,563.0,565.0,0,0,0,Journal of Political Economy,,,,2016-09-16,2313940754.0,,1.0,Paul R. Fossum,,20533.0,paul r fossum,Paul R. Fossum,,2.0,2.0,0.0,2016-06-24
108,1977067374,23727,10.1086/261414,Journal,congress and regulatory agency choice reply to muris,Congress and Regulatory Agency Choice: Reply to Muris,,1986,1986-08-01,,The University of Chicago Press,95323914.0,,,94.0,4.0,890.0,894.0,6,8,8,Journal of Political Economy,,,,2016-06-24,2292644135.0,,1.0,Barry R. Weingast,,12963.0,barry r weingast,Barry R. Weingast,97018004.0,290.0,247.0,29055.0,2016-06-24
108,1977067374,23727,10.1086/261414,Journal,congress and regulatory agency choice reply to muris,Congress and Regulatory Agency Choice: Reply to Muris,,1986,1986-08-01,,The University of Chicago Press,95323914.0,,,94.0,4.0,890.0,894.0,6,8,8,Journal of Political Economy,,,,2016-06-24,2324983528.0,,2.0,Mark J. Moran,,16010.0,mark j moran,Mark J. Moran,,3.0,3.0,1144.0,2016-06-24
109,2518386835,36270,10.1086/250609,Journal,how it can be done or constructive socialism john richardson,How It Can Be Done: or Constructive Socialism. John Richardson,,1899,1899-06-01,,,95323914.0,,,7.0,3.0,422.0,424.0,0,0,0,Journal of Political Economy,,,,2016-09-16,2661398851.0,,1.0,G. O. Virtue,,21226.0,g o virtue,G. O. Virtue,,1.0,1.0,0.0,2017-06-30
110,2513292672,34542,10.1086/252381,Journal,the amalgamated wood workers international union of america frederick shipp deibler,The Amalgamated Wood Workers' International Union of America. Frederick Shipp Deibler,,1914,1914-01-01,,,95323914.0,,,22.0,1.0,99.0,102.0,0,0,0,Journal of Political Economy,,,,2016-09-16,2320063391.0,,1.0,Frank L. Carlton,,21226.0,frank l carlton,Frank L. Carlton,,1.0,1.0,0.0,2016-06-24
111,1993518814,22245,10.1016/S0176-2680(99)00005-1,Journal,central bank independence and the sacrifice ratio,Central bank independence and the sacrifice ratio,,1999,1999-06-01,1999-06-17,North-Holland,100134864.0,,,15.0,2.0,229.0,255.0,29,13,13,European Journal of Political Economy,,,,2016-06-24,2118517335.0,32869367.0,1.0,Thomas J. Jordan,"Swiss National Bank, P.O. Box, CH-8022 Zürich, Switzerland",16598.0,thomas j jordan,Thomas J. Jordan,32869367.0,66.0,52.0,254.0,2016-06-24
111,1993518814,22245,10.1016/S0176-2680(99)00005-1,Journal,central bank independence and the sacrifice ratio,Central bank independence and the sacrifice ratio,,1999,1999-06-01,1999-06-17,North-Holland,100134864.0,,,15.0,2.0,229.0,255.0,29,13,13,European Journal of Political Economy,,,,2016-06-24,2118517335.0,118564535.0,1.0,Thomas J. Jordan,"University of Berne, Berne, Switzerland",16598.0,thomas j jordan,Thomas J. Jordan,32869367.0,66.0,52.0,254.0,2016-06-24
112,2516249759,28886,10.1086/259549,Journal,water research allen v kneese stephen c smith,"Water Research. Allen V. Kneese , Stephen C. Smith",,1969,1969-07-01,,,95323914.0,,,77.0,,567.0,569.0,0,0,0,Journal of Political Economy,,,,2016-09-16,2701917002.0,,1.0,Peter H. Pearse,,21226.0,peter h pearse,Peter H. Pearse,,1.0,1.0,0.0,2017-06-30
113,2510090342,27438,10.1086/261192,Journal,american inequality a macroeconomic history jeffrey g williamson peter lindert,"American Inequality: A Macroeconomic History. Jeffrey G. Williamson , Peter Lindert",,1983,1983-10-01,,,95323914.0,,,91.0,5.0,900.0,906.0,0,0,0,Journal of Political Economy,,,,2016-09-16,2653519630.0,,1.0,Morton Paglin,,21226.0,morton paglin,Morton Paglin,,1.0,1.0,0.0,2017-06-30
114,2993914393,29920,10.1086/258145,Journal,the national policy and the wheat economy vernon c fowke,The National Policy and the Wheat Economy. Vernon C. Fowke,,1959,1959-02-01,,,95323914.0,,,67.0,1.0,97.0,98.0,0,0,0,Journal of Political Economy,,,,2019-12-13,2993021008.0,,1.0,V. P. Timoshenko,,21226.0,v p timoshenko,V. P. Timoshenko,,1.0,1.0,0.0,2019-12-13
115,2046109921,25540,10.1086/262107,Journal,on testing for financial market equilibrium under asymmetric information,On Testing for Financial Market Equilibrium under Asymmetric Information,,1997,1997-10-01,,The University of Chicago Press,95323914.0,,,105.0,5.0,1107.0,1113.0,2,0,0,Journal of Political Economy,,,,2016-06-24,2007994769.0,,1.0,Georg Nöldeke,,15726.0,georg noldeke,Georg Nöldeke,1850255.0,93.0,49.0,1293.0,2016-06-24
116,2508314312,31678,10.1086/255974,Journal,the structure of the nazi economy maxine y sweezy,The Structure of the Nazi Economy. Maxine Y. Sweezy,,1942,1942-12-01,,,95323914.0,,,50.0,6.0,952.0,952.0,0,0,0,Journal of Political Economy,,,,2016-09-16,2224480684.0,,1.0,R. Tirana,,21226.0,r tirana,R. Tirana,,1.0,1.0,0.0,2016-06-24
117,2516278092,29609,10.1086/258688,Journal,british monetary policy and the balance of payments 1951 1957 peter b kenen,"British Monetary Policy and the Balance of Payments, 1951-1957. Peter B. Kenen",,1962,1962-08-01,,,95323914.0,,,70.0,4.0,420.0,422.0,0,0,0,Journal of Political Economy,,,,2016-09-16,2670330307.0,,1.0,John Spraos,,21226.0,john spraos,John Spraos,,1.0,1.0,0.0,2017-06-30
118,2508155404,31882,10.1086/255655,Journal,price control in fascist italy henry s miller,Price Control in Fascist Italy. Henry S. Miller,,1940,1940-12-01,,,95323914.0,,,48.0,6.0,920.0,921.0,0,0,0,Journal of Political Economy,,,,2016-09-16,2288690405.0,,1.0,Fausto R. Pitigliani,,20400.0,fausto r pitigliani,Fausto R. Pitigliani,,2.0,2.0,6.0,2016-06-24
119,207517110,22123,10.1080/08911916.1997.11643958,Journal,marx s theory of wages,Marx’s Theory of Wages,,1997,1997-12-01,2016-01-28,Routledge,113957626.0,,,27.0,4.0,96.0,114.0,0,4,4,International Journal of Political Economy,,,,2016-06-24,2036924675.0,,1.0,José Manuel García Ábalos,,20475.0,jose manuel garcia abalos,José Manuel García Ábalos,,1.0,1.0,4.0,2016-06-24
120,2065175384,34643,10.1086/252357,Journal,the illinois legislature of 1913,The Illinois Legislature of 1913,,1913,1913-12-01,,The University of Chicago Press,95323914.0,,,21.0,10.0,931.0,937.0,0,0,0,Journal of Political Economy,,,,2016-06-24,2681283204.0,,1.0,John A. Fairlie,,20533.0,john a fairlie,John A. Fairlie,,2.0,2.0,0.0,2017-06-30
121,2069416762,23143,10.1111/J.1467-9485.1996.TB00845.X,Journal,technological epochs and british industrial production 1700 1992,"TECHNOLOGICAL EPOCHS AND BRITISH INDUSTRIAL PRODUCTION, 1700–1992",,1996,1996-08-01,2007-10-09,Blackwell Publishing Ltd,111496547.0,,,43.0,3.0,258.0,274.0,32,13,13,Scottish Journal of Political Economy,,,,2016-06-24,3434531.0,,1.0,David Greasley,**University of Waitato,16111.0,david greasley,David Greasley,98677209.0,84.0,81.0,1137.0,2016-06-24
121,2069416762,23143,10.1111/J.1467-9485.1996.TB00845.X,Journal,technological epochs and british industrial production 1700 1992,"TECHNOLOGICAL EPOCHS AND BRITISH INDUSTRIAL PRODUCTION, 1700–1992",,1996,1996-08-01,2007-10-09,Blackwell Publishing Ltd,111496547.0,,,43.0,3.0,258.0,274.0,32,13,13,Scottish Journal of Political Economy,,,,2016-06-24,1924549235.0,,2.0,Les Oxley,**University of Waitato,14759.0,les oxley,Les Oxley,52179390.0,298.0,249.0,3826.0,2016-06-24
122,2509772485,27645,10.1086/260976,Journal,new challenges to the role of profit benjamin m friedman,New Challenges to the Role of Profit. Benjamin M. Friedman,,1981,1981-04-01,,,95323914.0,,,89.0,2.0,421.0,423.0,0,0,0,Journal of Political Economy,,,,2016-09-16,2713553364.0,,1.0,Gerald P. O'Driscoll,,21226.0,gerald p odriscoll,Gerald P. O'Driscoll,,1.0,1.0,0.0,2017-06-30
123,2512299471,31273,10.1086/256761,Journal,nouvelles et speculations a venise au debut du xvie siecle pierre sardella,Nouvelles et spéculations à Venise au début du XVIe siècle. Pierre Sardella,,1948,1948-12-01,,,95323914.0,,,56.0,6.0,553.0,554.0,0,0,0,Journal of Political Economy,,,,2016-09-16,2666641691.0,,1.0,Robert L. Reynolds,,20128.0,robert l reynolds,Robert L. Reynolds,,3.0,3.0,0.0,2017-06-30
124,2995025850,31204,,Journal,book review postwar fiscal requirements federal state and local lewis h kimmel adah l lee mildred maroney,"Book Review:Postwar Fiscal Requirements: Federal, State, and Local Lewis H. Kimmel, Adah L. Lee, Mildred Maroney",,1946,1946-01-01,,,95323914.0,,,,,,,0,0,0,Journal of Political Economy,,,,2019-12-26,2316581283.0,,1.0,Simeon E. Leland,,18578.0,simeon e leland,Simeon E. Leland,,14.0,14.0,2.0,2016-06-24
125,2158614924,22612,10.1086/259613,Journal,flexible exchange rates and oligopoly pricing a study of canadian markets,Flexible Exchange Rates and Oligopoly Pricing: A Study of Canadian Markets,,1970,1970-01-01,,The University of Chicago Press,95323914.0,,,78.0,1.0,140.0,151.0,10,75,111,Journal of Political Economy,,,,2016-06-24,3122884790.0,,1.0,Jr. Robert M. Dunn,,17988.0,jr robert m dunn,Jr. Robert M. Dunn,,1.0,1.0,75.0,2021-02-01
126,2510606497,33112,10.1086/253954,Journal,the tariff on wool mark a smiththe cattle industry and the tariff lynn r edminster,The Tariff on Wool. Mark A. SmithThe Cattle Industry and the Tariff. Lynn R. Edminster,,1928,1928-06-01,,,95323914.0,,,36.0,3.0,403.0,405.0,0,0,0,Journal of Political Economy,,,,2016-09-16,2288724801.0,,1.0,Abraham Berglund,,19270.0,abraham berglund,Abraham Berglund,,7.0,7.0,1.0,2016-06-24
127,3114640246,23300,,,transformacoes no mercado de trabalho no brasil durante a crise 1980 83,Transformações no mercado de trabalho no Brasil durante a crise - 1980-83,,1986,1986-07-01,,,,,,6.0,3.0,,,0,6,61,Brazilian Journal of Political Economy,,,,2021-01-05,2038131928.0,,1.0,João L. M. Sabóia,,16476.0,joao saboia,João Saboia,122140584.0,59.0,53.0,352.0,2016-06-24
128,1962066870,20837,10.1111/J.1467-9485.2011.00557.X,Journal,optimal price setting in fixed odds betting markets under information uncertainty,OPTIMAL PRICE SETTING IN FIXED‐ODDS BETTING MARKETS UNDER INFORMATION UNCERTAINTY,,2011,2011-09-01,2011-06-14,Blackwell Publishing Ltd,111496547.0,,,58.0,4.0,519.0,536.0,31,20,20,Scottish Journal of Political Economy,,,,2016-06-24,1954220065.0,73142707.0,2.0,Raphael N. Markellos,<sup>*</sup> Athens University of Economics and Business,15869.0,raphael n markellos,Raphael N. Markellos,1118541.0,76.0,57.0,1508.0,2016-06-24
128,1962066870,20837,10.1111/J.1467-9485.2011.00557.X,Journal,optimal price setting in fixed odds betting markets under information uncertainty,OPTIMAL PRICE SETTING IN FIXED‐ODDS BETTING MARKETS UNDER INFORMATION UNCERTAINTY,,2011,2011-09-01,2011-06-14,Blackwell Publishing Ltd,111496547.0,,,58.0,4.0,519.0,536.0,31,20,20,Scottish Journal of Political Economy,,,,2016-06-24,2022251079.0,73142707.0,1.0,Vasiliki Makropoulou,<sup>*</sup> Athens University of Economics and Business,18557.0,vasiliki makropoulou,Vasiliki Makropoulou,73142707.0,12.0,9.0,39.0,2016-06-24
129,2514346554,35266,10.1086/251365,Journal,the cause and extent of the recent industrial progress of germany earl dean howard,The Cause and Extent of the Recent Industrial Progress of Germany. Earl Dean Howard,,1907,1907-11-01,,,95323914.0,,,15.0,9.0,562.0,563.0,0,0,0,Journal of Political Economy,,,,2016-09-16,2692660902.0,,1.0,O. D. Skelton,,21226.0,o d skelton,O. D. Skelton,,1.0,1.0,0.0,2017-06-30
130,2513463059,35291,10.1086/251448,Journal,the stannaries a study of the english tin miner george randall lewis,The Stannaries: A Study of the English Tin Miner. George Randall Lewis,,1908,1908-06-01,,,95323914.0,,,16.0,6.0,387.0,389.0,0,0,0,Journal of Political Economy,,,,2016-09-16,2624897987.0,,1.0,W. C. Mitchell,,21226.0,w c mitchell,W. C. Mitchell,,1.0,1.0,0.0,2017-06-23
131,1590318337,27333,10.1016/0176-2680(93)90014-L,Journal,the political economy of communism,The Political Economy of Communism,,1993,1993-08-01,,Elsevier BV,100134864.0,,,9.0,3.0,463.0,466.0,0,0,0,European Journal of Political Economy,,,,2016-06-24,2987522848.0,,1.0,Michael Ellman,,21226.0,michael ellman,Michael Ellman,,1.0,1.0,0.0,2019-11-22
132,2514415108,32196,10.1086/254709,Journal,the economic foundations of fascism paul einzig,The Economic Foundations of Fascism. Paul Einzig,,1934,1934-12-01,,,95323914.0,,,42.0,6.0,828.0,830.0,0,0,0,Journal of Political Economy,,,,2016-09-16,2312638151.0,,1.0,Arthur W. Marget,,16245.0,arthur w marget,Arthur W. Marget,,51.0,51.0,276.0,2016-06-24
133,2083707092,24638,10.1111/J.1467-9485.1993.TB00641.X,Journal,multinational firm foreign production and hedging behaviour,"MULTINATIONAL FIRM, FOREIGN PRODUCTION, AND HEDGING BEHAVIOUR",,1993,1993-02-01,2007-10-09,Blackwell Publishing Ltd,111496547.0,,,40.0,1.0,116.0,123.0,16,3,3,Scottish Journal of Political Economy,,,,2016-06-24,961085062.0,170658231.0,1.0,Udo Broll,"Department of Economics, University of Osnabrück",15913.0,udo broll,Udo Broll,78650965.0,156.0,113.0,600.0,2016-06-24
133,2083707092,24638,10.1111/J.1467-9485.1993.TB00641.X,Journal,multinational firm foreign production and hedging behaviour,"MULTINATIONAL FIRM, FOREIGN PRODUCTION, AND HEDGING BEHAVIOUR",,1993,1993-02-01,2007-10-09,Blackwell Publishing Ltd,111496547.0,,,40.0,1.0,116.0,123.0,16,3,3,Scottish Journal of Political Economy,,,,2016-06-24,2115056652.0,,2.0,Jack E. Wahl,"Department of Finance, University of Dortmund, Federal Republic of Germany",16472.0,jack e wahl,Jack E. Wahl,200332995.0,88.0,72.0,299.0,2016-06-24
134,1537632081,23329,10.1016/0176-2680(93)90039-W,Journal,non dictatorial pareto monotonic cooperative bargaining an impossibility theorem,"Non-dictatorial, Pareto-monotonic, cooperative bargaining: An impossibility theorem☆",,1993,1993-11-01,2002-03-26,Elsevier BV,100134864.0,,,9.0,4.0,551.0,558.0,9,7,7,European Journal of Political Economy,,,,2016-06-24,312307864.0,63190737.0,2.0,Nejat Anbarci,"State Univ of New York at Buffalo, Buffalo, NY, USA",15806.0,nejat anbarci,Nejat Anbarci,149704539.0,127.0,101.0,1108.0,2016-06-24
134,1537632081,23329,10.1016/0176-2680(93)90039-W,Journal,non dictatorial pareto monotonic cooperative bargaining an impossibility theorem,"Non-dictatorial, Pareto-monotonic, cooperative bargaining: An impossibility theorem☆",,1993,1993-11-01,2002-03-26,Elsevier BV,100134864.0,,,9.0,4.0,551.0,558.0,9,7,7,European Journal of Political Economy,,,,2016-06-24,2582330732.0,76835614.0,1.0,John Payne Bigelow,"Univ. of Missouri - Columbia, Columbia, MO, USA",18621.0,john payne bigelow,John Payne Bigelow,76835614.0,4.0,4.0,92.0,2017-02-03
135,2020028502,32819,10.1086/253874,Journal,industrial relations in the pottery industry,Industrial Relations in the Pottery Industry,,1927,1927-08-01,,The University of Chicago Press,95323914.0,,,35.0,4.0,522.0,542.0,0,0,0,Journal of Political Economy,,,,2016-06-24,2722739650.0,,1.0,Donald Kennedy,,21226.0,donald kennedy,Donald Kennedy,,1.0,1.0,0.0,2017-06-30
136,2094928413,27224,10.1086/258415,Journal,volume discounts as barriers to entry and access,Volume Discounts as Barriers to Entry and Access,,1961,1961-02-01,,The University of Chicago Press,95323914.0,,,69.0,1.0,63.0,69.0,0,3,3,Journal of Political Economy,,,,2016-06-24,2950928533.0,,1.0,Jr. Robert C. Brooks,,20972.0,jr robert c brooks,Jr. Robert C. Brooks,,1.0,1.0,3.0,2019-06-27
137,2512543228,27366,10.1086/258879,Journal,peddlers and princes clifford geerts,Peddlers and Princes. Clifford Geerts,,1964,1964-02-01,,,95323914.0,,,72.0,1.0,104.0,105.0,0,0,0,Journal of Political Economy,,,,2016-09-16,2164884428.0,,1.0,Harry G. Johnson,,13219.0,harry g johnson,Harry G. Johnson,40347166.0,345.0,339.0,6351.0,2016-06-24
138,1977323527,22280,10.1111/J.1467-9485.2011.00577.X,Journal,the relationship between inequality and innovative activity a schumpeterian theory and evidence from cross country data,The relationship between inequality and innovative activity: a Schumpeterian theory and evidence from cross-country data,,2012,2012-05-01,2012-03-02,"John Wiley & Sons, Ltd",111496547.0,,,59.0,2.0,224.0,248.0,47,6,6,Scottish Journal of Political Economy,,,,2016-06-24,2160689104.0,4405392.0,1.0,Ozan Hatipoglu,Bogaziçi University,17937.0,ozan hatipoglu,Ozan Hatipoglu,4405392.0,23.0,16.0,75.0,2016-06-24
139,1969164380,21677,10.1016/0176-2680(90)90036-I,Journal,modelling political pressure as transmission of information,MODELLING POLITICAL PRESSURE AS TRANSMISSION OF INFORMATION,,1990,1990-08-01,2002-03-22,North-Holland,100134864.0,,,6.0,1.0,61.0,88.0,31,52,108,European Journal of Political Economy,,,,2016-06-24,2117058684.0,887064364.0,1.0,Jan Potters,"University of Amsterdam and Tinbergen Institute, 1011 NH Amsterdam, The Netherlands",14930.0,jan potters,Jan Potters,193700539.0,211.0,144.0,3678.0,2016-06-24
139,1969164380,21677,10.1016/0176-2680(90)90036-I,Journal,modelling political pressure as transmission of information,MODELLING POLITICAL PRESSURE AS TRANSMISSION OF INFORMATION,,1990,1990-08-01,2002-03-22,North-Holland,100134864.0,,,6.0,1.0,61.0,88.0,31,52,108,European Journal of Political Economy,,,,2016-06-24,2120845591.0,887064364.0,2.0,Frans Van Winden,"University of Amsterdam and Tinbergen Institute, 1011 NH Amsterdam, The Netherlands",14875.0,frans van winden,Frans van Winden,887064364.0,161.0,117.0,4096.0,2016-06-24
140,2073495903,21470,10.1086/260596,Journal,the demand for quality adjusted cash balances price uncertainty in the u s demand for money function,The Demand for Quality-adjusted Cash Balances: Price Uncertainty in the U.S. Demand for Money Function,,1977,1977-08-01,,The University of Chicago Press,95323914.0,,,85.0,4.0,691.0,715.0,7,98,146,Journal of Political Economy,,,,2016-06-24,2769084795.0,,1.0,Benjamin Klein,,13318.0,benjamin klein,Benjamin Klein,161318765.0,74.0,64.0,8029.0,2017-12-04
141,2507440305,36253,10.1086/250251,Journal,progressive taxation in theory and practice edwin r seligman,Progressive Taxation in Theory and Practice. Edwin R. Seligman,,1894,1894-09-01,,,95323914.0,,,2.0,4.0,596.0,599.0,0,1,1,Journal of Political Economy,,,,2016-09-16,2706031695.0,,1.0,A. C. Miller,,21165.0,a c miller,A. C. Miller,,1.0,1.0,1.0,2017-06-30
142,2102762313,23045,10.1111/J.1467-9485.1994.TB01141.X,Journal,a generalised lorenz curve approach to explaining the upward movement in women s relative earnings in britain during the 1970s,A GENERALISED LORENZ CURVE APPROACH TO EXPLAINING THE UPWARD MOVEMENT IN WOMEN'S RELATIVE EARNINGS IN BRITAIN DURING THE 1970s,,1994,1994-11-01,2007-10-09,Blackwell Publishing Ltd,111496547.0,,,41.0,4.0,464.0,476.0,9,6,6,Scottish Journal of Political Economy,,,,2016-06-24,319919044.0,195460627.0,2.0,I. Theodossiou,University of Aberdeen,15383.0,ioannis theodossiou,Ioannis Theodossiou,195460627.0,166.0,142.0,2124.0,2016-06-24
142,2102762313,23045,10.1111/J.1467-9485.1994.TB01141.X,Journal,a generalised lorenz curve approach to explaining the upward movement in women s relative earnings in britain during the 1970s,A GENERALISED LORENZ CURVE APPROACH TO EXPLAINING THE UPWARD MOVEMENT IN WOMEN'S RELATIVE EARNINGS IN BRITAIN DURING THE 1970s,,1994,1994-11-01,2007-10-09,Blackwell Publishing Ltd,111496547.0,,,41.0,4.0,464.0,476.0,9,6,6,Scottish Journal of Political Economy,,,,2016-06-24,2026957375.0,195460627.0,1.0,P. J. Sloane,University of Aberdeen,14396.0,peter j sloane,Peter J. Sloane,169541294.0,242.0,204.0,5054.0,2016-06-24
143,2507692556,25549,10.1086/262108,Journal,book reviewthe correspondence of alfred marshall economist edited by john k whitaker vol 1 climbing 1868 1890 vol 2 at the summit 1891 1902 vol 3 towards the close 1903 1924 cambridge cambridge university press 1996 pp 1ix 1 368 xxxix 443 x1ii 471 64 95 each vol,"Book ReviewThe Correspondence of Alfred Marshall, Economist. Edited by John K. Whitaker. Vol. 1: Climbing, 1868–1890. Vol. 2: At the Summit, 1891–1902. Vol. 3: Towards the Close, 1903–1924. Cambridge: Cambridge University Press, 1996. Pp. 1ix 1 368; xxxix + 443; x1ii + 471. $64.95 (each vol.).",,1997,1997-10-01,,,95323914.0,,,105.0,5.0,1114.0,1120.0,0,0,0,Journal of Political Economy,,,,2016-09-16,2118310845.0,,1.0,Peter D. Groenewegen,,15527.0,peter groenewegen,Peter Groenewegen,129604602.0,218.0,211.0,686.0,2016-06-24
144,1967047281,21032,10.1086/260933,Journal,expectations models of the term structure and implied variance bounds,Expectations Models of the Term Structure and Implied Variance Bounds,,1980,1980-12-01,,The University of Chicago Press,95323914.0,,,88.0,6.0,1159.0,1176.0,14,106,157,Journal of Political Economy,,,,2016-06-24,669620310.0,,1.0,Kenneth J. Singleton,,12936.0,kenneth j singleton,Kenneth J. Singleton,97018004.0,130.0,91.0,18807.0,2016-06-24
145,1547223139,19280,10.3386/W19323,Journal,leverage and the foreclosure crisis,Leverage and the foreclosure crisis,,2015,2015-06-19,2013-08-01,"University of Chicago PressChicago, IL",95323914.0,,,123.0,1.0,1.0,65.0,40,90,271,Journal of Political Economy,1547223139.0,18867.0,,2016-06-24,2049201299.0,135310074.0,2.0,Erwan Quintin,"University of Wisconsin-Madison, #TAB#",16012.0,erwan quintin,Erwan Quintin,135310074.0,79.0,60.0,1091.0,2016-06-24
145,1547223139,19280,10.3386/W19323,Journal,leverage and the foreclosure crisis,Leverage and the foreclosure crisis,,2015,2015-06-19,2013-08-01,"University of Chicago PressChicago, IL",95323914.0,,,123.0,1.0,1.0,65.0,40,90,271,Journal of Political Economy,1547223139.0,18867.0,,2016-06-24,2325952761.0,135310074.0,1.0,Dean Corbae,"University of Wisconsin-Madison, #TAB#",15234.0,dean corbae,Dean Corbae,135310074.0,112.0,75.0,2250.0,2016-06-24
146,1978199971,20496,10.1086/262052,Journal,measurement matters recent results from monetary economics reexamined,Measurement Matters: Recent Results from Monetary Economics Reexamined,,1996,1996-10-01,,The University of Chicago Press,95323914.0,,,104.0,5.0,1065.0,1083.0,3,123,181,Journal of Political Economy,1978199971.0,20355.0,,2016-06-24,613848988.0,,1.0,Michael T. Belongia,,15593.0,michael t belongia,Michael T. Belongia,368840534.0,125.0,101.0,1059.0,2016-06-24
